timestamp,gpu_utilization (%),memory_utilization (%),gpu_power_draw (W),gpu_temperature (°C),gpu_fan_speed (%),gpu_clock_speed (MHz),cpu_utilization (%),memory_usage (%),server_power_draw (W),server_temperature (°C),disk_usage (%),network_bandwidth (Mbps)
2025-03-20 00:49:59.495312,81.88,41.65,202.77,65.5,48.63,1539,84.08,48.13,290.67,62.9,21.06,540.46
2025-03-20 00:54:59.495312,7.01,25.09,102.11,72.6,70.08,1206,64.62,13.78,483.86,68.8,67.18,478.14
2025-03-20 00:59:59.495312,59.86,54.93,234.7,58.8,32.7,817,34.49,14.25,320.37,71.5,93.03,932.34
2025-03-20 01:04:59.495312,38.1,65.42,184.74,57.2,36.49,1293,88.08,71.0,568.06,64.9,37.35,680.58
2025-03-20 01:09:59.495312,42.41,52.57,202.17,44.4,99.36,1550,84.52,34.04,485.07,40.5,79.67,381.7
2025-03-20 01:14:59.495312,79.88,44.74,142.82,63.6,80.25,1671,69.42,42.77,315.97,50.9,60.07,725.95
2025-03-20 01:19:59.495312,32.89,40.99,210.36,63.2,96.96,1307,37.73,55.13,406.56,58.9,36.61,603.52
2025-03-20 01:24:59.495312,89.87,77.34,295.83,61.1,43.67,1385,76.27,39.87,466.9,54.3,23.83,379.81
2025-03-20 01:29:59.495312,21.17,27.55,114.69,73.3,33.17,1687,33.45,72.0,277.35,37.2,76.99,795.99
2025-03-20 01:34:59.495312,64.65,68.74,156.78,77.5,60.25,1131,27.77,80.76,298.47,56.5,43.74,684.76
2025-03-20 01:39:59.495312,65.49,70.6,148.6,73.8,59.57,968,51.35,14.78,402.85,69.9,48.17,55.15
2025-03-20 01:44:59.495312,27.7,43.54,149.71,46.5,34.0,1575,94.74,60.83,569.96,48.8,56.39,871.88
2025-03-20 01:49:59.495312,34.23,33.78,175.74,68.0,78.66,1471,77.39,35.41,337.6,60.1,58.04,427.24
2025-03-20 01:54:59.495312,80.13,47.64,263.62,43.6,48.94,1648,70.68,56.66,360.85,57.7,35.46,663.18
2025-03-20 01:59:59.495312,73.56,17.46,282.57,71.3,34.91,1480,45.68,48.71,276.25,47.0,70.3,426.93
2025-03-20 02:04:59.495312,34.62,13.67,140.44,57.2,46.56,1740,33.08,36.69,437.28,55.4,71.94,887.29
2025-03-20 02:09:59.495312,53.06,18.93,208.59,46.0,65.09,1005,82.03,17.59,496.06,39.5,30.67,668.29
2025-03-20 02:14:59.495312,10.55,24.97,227.38,78.8,78.12,1668,56.1,54.76,376.26,54.6,59.97,600.42
2025-03-20 02:19:59.495312,23.79,50.33,204.37,67.6,58.55,1320,78.19,19.02,500.1,65.9,65.69,981.25
2025-03-20 02:24:59.495312,48.72,77.93,186.82,56.0,62.05,1304,48.9,22.49,321.04,64.2,33.97,316.61
2025-03-20 02:29:59.495312,12.74,28.85,138.4,41.4,31.12,1145,72.86,88.57,482.79,46.1,87.08,111.99
2025-03-20 02:34:59.495312,80.9,84.81,197.64,64.2,93.18,1103,83.1,35.34,303.34,35.0,56.21,540.21
2025-03-20 02:39:59.495312,69.62,86.39,180.24,81.5,94.3,914,40.23,56.75,512.26,66.0,28.63,452.82
2025-03-20 02:44:59.495312,89.93,86.71,259.11,66.8,74.67,1463,6.22,31.78,532.26,41.9,45.08,481.58
2025-03-20 02:49:59.495312,67.41,77.01,252.72,83.7,21.41,886,27.94,79.24,519.09,32.4,55.77,639.1
2025-03-20 02:54:59.495312,89.64,39.11,126.8,46.1,62.97,894,87.34,32.67,286.19,50.0,20.76,634.37
2025-03-20 02:59:59.495312,54.91,15.81,117.7,65.6,70.34,1542,66.88,39.35,477.7,63.3,22.39,422.65
2025-03-20 03:04:59.495312,59.02,55.51,281.63,75.9,99.57,1227,71.35,58.67,415.42,66.4,24.16,869.73
2025-03-20 03:09:59.495312,92.93,54.69,207.1,63.6,99.69,1497,34.28,79.6,594.41,74.2,60.36,668.89
2025-03-20 03:14:59.495312,62.79,78.0,271.56,44.1,88.61,1249,68.11,75.3,344.63,38.5,45.21,895.42
2025-03-20 03:19:59.495312,7.77,89.68,111.63,66.2,25.11,1425,63.17,31.11,508.5,43.2,86.98,917.5
2025-03-20 03:24:59.495312,70.14,50.65,205.3,67.5,96.26,1585,21.05,76.36,348.03,57.4,61.94,208.95
2025-03-20 03:29:59.495312,86.49,37.62,207.89,72.8,69.01,1775,92.18,66.1,358.74,66.5,76.99,696.53
2025-03-20 03:34:59.495312,76.6,24.87,272.14,74.3,84.07,1340,36.86,89.19,244.4,40.5,71.53,351.64
2025-03-20 03:39:59.495312,57.54,10.38,119.52,74.7,52.58,1514,34.64,84.84,295.86,48.4,59.02,844.61
2025-03-20 03:44:59.495312,65.42,50.73,148.09,69.9,45.57,801,38.22,52.65,265.79,48.4,75.85,746.21
2025-03-20 03:49:59.495312,94.12,54.44,181.31,49.7,57.06,877,13.25,69.99,263.68,64.8,60.85,238.81
2025-03-20 03:54:59.495312,13.16,76.0,273.17,58.2,31.75,1123,61.25,55.61,203.61,40.8,48.91,941.79
2025-03-20 03:59:59.495312,65.05,50.37,287.78,74.9,48.57,1542,26.48,57.6,517.51,73.6,52.69,699.31
2025-03-20 04:04:59.495312,30.51,83.32,298.54,82.9,88.61,897,77.3,18.12,387.17,53.0,82.89,951.2
2025-03-20 04:09:59.495312,62.61,60.25,291.84,43.6,23.04,1428,40.47,10.18,521.67,42.7,62.25,241.82
2025-03-20 04:14:59.495312,59.69,77.23,101.19,64.1,32.07,909,46.27,13.85,445.02,42.8,48.3,876.22
2025-03-20 04:19:59.495312,18.81,21.86,109.54,54.1,30.01,1478,63.18,87.33,532.54,30.8,33.48,684.67
2025-03-20 04:24:59.495312,23.61,78.43,129.52,50.1,52.25,1256,73.57,20.1,401.51,61.2,57.15,574.67
2025-03-20 04:29:59.495312,60.95,64.01,169.77,62.8,99.76,1287,25.8,13.55,237.62,64.9,38.93,829.49
2025-03-20 04:34:59.495312,16.54,23.62,265.98,67.3,33.87,1608,91.97,34.77,446.71,31.5,91.67,651.22
2025-03-20 04:39:59.495312,28.87,25.18,278.53,40.4,31.64,1766,61.01,57.05,471.11,56.4,56.82,686.12
2025-03-20 04:44:59.495312,80.17,84.12,137.37,75.1,93.2,1170,5.51,85.88,450.6,65.2,20.67,290.99
2025-03-20 04:49:59.495312,34.44,12.58,223.93,76.9,90.56,1136,42.41,65.99,520.53,46.9,26.97,826.2
2025-03-20 04:54:59.495312,48.93,47.0,283.47,83.4,22.58,1689,44.31,32.11,492.6,49.5,41.32,667.79
2025-03-20 04:59:59.495312,89.7,35.08,192.75,48.1,80.14,1398,77.82,85.12,373.05,46.3,26.91,852.17
2025-03-20 05:04:59.495312,25.44,63.21,120.71,66.8,72.44,1770,32.46,12.88,527.64,44.2,87.05,383.95
2025-03-20 05:09:59.495312,40.07,77.17,191.56,59.2,81.42,821,34.81,88.32,476.71,52.1,84.08,365.12
2025-03-20 05:14:59.495312,59.58,38.83,175.16,55.1,59.56,1521,11.34,14.69,248.15,37.5,92.81,72.71
2025-03-20 05:19:59.495312,72.98,44.15,215.53,65.5,99.31,1104,30.52,70.31,415.95,49.8,72.98,780.18
2025-03-20 05:24:59.495312,86.15,88.55,187.73,75.2,23.51,1723,69.53,13.62,491.42,72.4,68.41,363.8
2025-03-20 05:29:59.495312,87.39,72.71,103.47,41.0,38.75,1071,62.13,84.52,421.32,31.2,89.26,360.85
2025-03-20 05:34:59.495312,74.9,81.78,298.8,83.6,51.72,1289,12.33,18.69,579.61,37.4,90.98,704.25
2025-03-20 05:39:59.495312,25.55,45.1,208.71,76.4,55.98,1635,15.32,14.04,240.6,65.0,85.81,290.23
2025-03-20 05:44:59.495312,7.23,28.73,194.73,73.8,93.71,1245,38.92,81.14,488.93,35.9,84.61,913.57
2025-03-20 05:49:59.495312,39.54,42.95,290.92,74.2,64.8,1731,71.94,17.66,529.78,42.2,70.38,561.16
2025-03-20 05:54:59.495312,17.74,67.29,131.17,57.5,23.61,1077,79.96,73.83,481.06,50.5,20.12,971.0
2025-03-20 05:59:59.495312,68.93,18.75,137.85,73.8,52.63,1450,6.32,69.76,354.23,72.4,52.21,122.84
2025-03-20 06:04:59.495312,64.5,31.64,261.6,57.4,53.32,1652,34.61,57.91,354.19,38.3,67.67,369.98
2025-03-20 06:09:59.495312,8.96,13.73,152.17,80.4,97.24,1176,43.18,40.24,434.63,71.5,61.03,412.4
2025-03-20 06:14:59.495312,80.29,44.59,259.85,48.0,67.94,1031,87.0,83.25,358.84,62.3,81.58,743.9
2025-03-20 06:19:59.495312,27.39,76.2,154.31,53.2,70.85,1544,50.13,79.69,553.27,60.2,81.42,252.31
2025-03-20 06:24:59.495312,43.9,11.97,106.64,64.8,77.06,1391,29.27,44.1,243.97,62.6,64.9,406.58
2025-03-20 06:29:59.495312,65.11,64.03,203.4,54.4,81.6,1225,40.1,28.54,455.66,31.4,21.65,915.11
2025-03-20 06:34:59.495312,43.65,84.6,139.34,59.1,70.8,854,44.28,31.81,253.65,34.5,47.7,158.82
2025-03-20 06:39:59.495312,44.72,28.95,251.57,62.2,38.98,1768,65.3,27.63,416.06,45.1,37.16,758.06
2025-03-20 06:44:59.495312,10.91,65.49,228.24,78.5,89.92,1602,8.7,53.3,486.23,33.3,45.41,717.36
2025-03-20 06:49:59.495312,41.13,88.01,284.72,63.5,78.57,1240,40.05,79.48,266.2,74.4,66.3,173.98
2025-03-20 06:54:59.495312,73.84,86.98,256.6,56.3,79.35,833,63.19,71.89,481.61,56.1,24.98,704.07
2025-03-20 06:59:59.495312,87.37,28.79,136.16,51.1,99.72,1128,30.5,73.64,255.99,51.9,21.67,591.29
2025-03-20 07:04:59.495312,42.21,18.03,260.03,58.4,84.2,1644,58.26,45.86,448.22,65.3,52.77,323.15
2025-03-20 07:09:59.495312,43.12,21.86,228.35,63.2,86.33,1253,37.16,35.8,402.22,74.0,79.52,345.58
2025-03-20 07:14:59.495312,68.24,66.16,233.79,73.6,96.11,1187,73.28,70.59,319.23,73.0,22.3,841.34
2025-03-20 07:19:59.495312,89.85,68.06,266.45,45.4,32.09,1563,10.45,73.46,244.62,65.7,83.68,269.46
2025-03-20 07:24:59.495312,29.04,63.94,214.76,50.0,59.82,1229,87.62,65.63,494.34,47.0,48.79,537.14
2025-03-20 07:29:59.495312,44.61,36.89,193.2,57.1,66.45,1275,20.45,12.57,352.72,33.0,28.87,697.09
2025-03-20 07:34:59.495312,76.64,23.58,227.33,56.2,46.34,924,19.27,57.17,234.61,34.4,62.56,173.41
2025-03-20 07:39:59.495312,59.87,56.46,159.59,57.6,87.15,1322,80.66,37.76,509.12,30.1,91.43,935.74
2025-03-20 07:44:59.495312,14.95,48.69,136.52,75.7,80.99,1281,83.24,25.7,293.16,30.1,60.69,297.6
2025-03-20 07:49:59.495312,61.5,68.31,223.32,54.6,77.67,1116,13.37,65.55,494.58,72.1,71.5,352.89
2025-03-20 07:54:59.495312,21.81,45.31,146.77,62.6,99.77,921,86.78,31.48,425.96,71.7,81.23,682.81
2025-03-20 07:59:59.495312,50.92,37.09,115.98,68.1,40.75,1346,29.6,83.03,277.81,60.0,79.95,124.28
2025-03-20 08:04:59.495312,52.62,33.48,100.11,50.4,78.84,1380,60.68,33.85,230.56,62.7,25.48,646.23
2025-03-20 08:09:59.495312,83.86,26.92,221.66,72.3,64.11,1112,11.17,54.41,437.3,53.1,75.57,920.23
2025-03-20 08:14:59.495312,46.62,31.26,172.43,64.6,45.04,1286,39.26,76.22,210.08,40.7,91.21,286.64
2025-03-20 08:19:59.495312,30.15,17.59,250.46,60.1,32.85,1450,45.57,42.17,226.19,71.1,72.55,393.81
2025-03-20 08:24:59.495312,25.79,37.75,175.04,76.4,91.67,811,58.98,76.29,480.89,42.5,82.73,270.72
2025-03-20 08:29:59.495312,83.68,12.93,197.2,51.0,67.64,924,52.27,67.9,415.55,63.3,56.42,827.83
2025-03-20 08:34:59.495312,20.39,24.91,181.42,79.7,85.99,1610,46.53,83.67,330.52,41.0,43.93,209.23
2025-03-20 08:39:59.495312,43.33,69.74,230.11,65.2,63.63,1458,91.37,36.07,415.69,69.2,70.72,379.3
2025-03-20 08:44:59.495312,21.85,36.04,171.23,67.4,37.6,876,21.65,18.4,436.66,59.3,56.91,620.97
2025-03-20 08:49:59.495312,74.6,63.46,292.75,79.4,47.0,1379,19.22,44.43,426.11,58.9,87.15,434.33
2025-03-20 08:54:59.495312,47.69,67.35,287.23,76.8,50.52,1517,69.21,72.87,457.02,34.4,93.08,112.2
2025-03-20 08:59:59.495312,36.6,56.49,269.61,67.1,97.83,1035,11.71,46.03,576.12,48.9,81.49,950.33
2025-03-20 09:04:59.495312,37.5,86.7,284.06,73.9,20.45,1370,48.46,30.96,355.51,53.6,94.45,371.01
2025-03-20 09:09:59.495312,81.7,11.72,189.83,59.5,98.85,1569,48.56,12.21,320.46,43.2,46.13,473.37
2025-03-20 09:14:59.495312,54.84,69.09,207.29,64.6,98.44,1053,32.9,35.04,215.37,69.6,87.18,209.17
2025-03-20 09:19:59.495312,69.61,86.7,248.42,42.8,99.69,1703,88.74,67.07,258.83,67.7,44.75,872.08
2025-03-20 09:24:59.495312,85.73,78.98,239.23,44.0,58.13,1205,30.43,21.81,242.5,52.2,28.85,326.86
2025-03-20 09:29:59.495312,86.16,23.43,278.14,77.3,97.1,1042,30.96,37.27,334.18,45.3,66.6,68.83
2025-03-20 09:34:59.495312,34.57,36.15,243.27,42.7,51.65,1260,26.09,11.62,444.0,66.1,54.12,350.58
2025-03-20 09:39:59.495312,90.72,23.8,299.58,47.6,22.1,1076,18.12,67.74,218.53,38.9,89.13,984.86
2025-03-20 09:44:59.495312,7.24,58.1,169.7,75.8,37.95,1268,37.76,80.45,491.07,33.2,56.91,189.5
2025-03-20 09:49:59.495312,38.92,66.98,266.6,40.1,95.62,1019,66.28,55.48,358.97,32.1,89.57,79.64
2025-03-20 09:54:59.495312,85.62,35.37,239.53,52.7,21.1,1024,71.79,12.07,585.4,31.7,25.9,599.27
2025-03-20 09:59:59.495312,29.72,53.16,238.28,66.3,63.68,1724,78.21,27.41,427.35,52.0,82.29,403.08
2025-03-20 10:04:59.495312,29.58,65.27,165.17,66.8,26.05,900,22.78,45.08,508.54,41.5,76.93,805.23
2025-03-20 10:09:59.495312,32.24,43.71,257.12,75.0,42.91,1653,8.21,57.01,544.47,61.1,74.0,745.29
2025-03-20 10:14:59.495312,60.11,78.32,280.08,62.8,27.05,1433,92.72,49.7,555.54,59.4,46.64,226.15
2025-03-20 10:19:59.495312,44.45,71.72,143.71,62.9,88.76,1529,6.29,83.27,407.38,54.4,78.78,586.4
2025-03-20 10:24:59.495312,70.41,15.17,225.1,72.6,67.29,1306,91.46,85.09,358.7,45.9,56.25,80.81
2025-03-20 10:29:59.495312,85.54,59.69,178.43,62.4,92.17,1386,79.59,18.57,424.21,68.3,73.64,467.5
2025-03-20 10:34:59.495312,65.68,28.83,297.91,67.4,75.07,1130,87.09,21.07,360.83,61.9,61.42,728.35
2025-03-20 10:39:59.495312,23.4,54.6,195.77,80.4,97.68,1036,39.85,38.64,296.29,42.2,31.81,444.21
2025-03-20 10:44:59.495312,88.94,86.55,145.66,58.1,60.79,1793,22.75,43.7,329.57,52.6,24.84,162.06
2025-03-20 10:49:59.495312,28.8,80.32,176.37,57.3,71.1,1138,59.58,56.89,293.11,37.0,47.46,108.46
2025-03-20 10:54:59.495312,18.49,42.36,230.77,40.2,66.1,1551,71.71,71.85,307.78,44.8,89.96,860.98
2025-03-20 10:59:59.495312,13.1,33.32,115.22,67.6,58.74,1305,16.78,20.86,237.44,74.9,59.73,896.76
2025-03-20 11:04:59.495312,55.7,28.75,220.72,41.3,87.68,964,76.79,74.21,370.59,40.1,80.16,375.94
2025-03-20 11:09:59.495312,15.24,52.6,286.24,62.7,71.56,1645,23.77,58.8,294.11,61.4,63.2,205.96
2025-03-20 11:14:59.495312,17.49,19.14,270.07,76.2,84.1,1468,49.25,88.47,379.35,40.7,91.84,979.69
2025-03-20 11:19:59.495312,32.0,53.94,113.53,64.7,82.91,1522,82.08,62.09,516.88,72.2,47.71,568.57
2025-03-20 11:24:59.495312,30.35,10.11,298.68,52.1,35.28,1732,22.41,67.29,379.32,44.0,24.28,502.82
2025-03-20 11:29:59.495312,59.38,35.91,239.75,75.4,72.01,1588,26.77,25.62,581.84,45.6,78.55,754.53
2025-03-20 11:34:59.495312,78.51,27.59,132.46,52.1,35.97,1527,10.65,71.51,259.13,56.7,72.91,210.43
2025-03-20 11:39:59.495312,73.52,87.7,102.48,73.0,66.67,1017,18.2,16.34,540.11,56.5,59.57,600.99
2025-03-20 11:44:59.495312,28.62,68.18,134.26,67.5,74.19,1544,18.19,62.52,299.3,56.1,44.48,895.65
2025-03-20 11:49:59.495312,27.08,37.97,267.64,47.6,99.78,1175,23.31,14.45,573.57,55.8,34.12,71.92
2025-03-20 11:54:59.495312,91.92,17.43,104.33,80.7,22.44,811,30.76,19.22,290.86,44.0,56.17,689.29
2025-03-20 11:59:59.495312,5.74,51.34,146.63,49.0,27.3,1231,78.35,18.63,498.78,49.5,69.97,573.85
2025-03-20 12:04:59.495312,84.17,27.08,251.46,84.5,26.16,882,87.42,14.2,224.85,56.7,63.42,953.26
2025-03-20 12:09:59.495312,22.98,52.91,217.22,40.3,51.87,1230,41.57,35.69,451.93,60.2,52.81,295.76
2025-03-20 12:14:59.495312,90.26,76.83,256.55,51.9,85.73,1424,16.54,89.55,287.47,41.4,60.48,865.95
2025-03-20 12:19:59.495312,35.81,59.26,249.23,49.0,87.52,1277,25.14,37.86,468.07,61.6,28.1,343.54
2025-03-20 12:24:59.495312,44.63,60.7,110.12,40.6,78.96,1582,71.26,70.86,454.33,71.5,72.19,458.37
2025-03-20 12:29:59.495312,68.64,53.28,278.5,73.0,91.75,1506,65.97,20.59,569.48,64.1,75.07,252.62
2025-03-20 12:34:59.495312,57.89,84.18,145.41,71.2,45.83,1168,92.05,46.36,450.67,33.8,20.86,870.41
2025-03-20 12:39:59.495312,33.61,84.55,210.68,75.7,27.05,1452,6.3,24.81,363.3,51.1,40.29,235.64
2025-03-20 12:44:59.495312,54.84,51.02,228.86,51.6,24.65,1754,72.57,25.37,277.43,49.6,26.91,866.06
2025-03-20 12:49:59.495312,70.76,34.46,133.73,60.0,88.17,1768,50.52,17.98,462.98,45.1,94.87,482.83
2025-03-20 12:54:59.495312,8.81,46.77,295.25,69.7,78.43,1435,86.24,44.56,246.55,52.1,64.5,843.33
2025-03-20 12:59:59.495312,6.01,24.92,197.63,59.8,75.89,940,56.86,16.04,531.41,49.8,54.93,301.26
2025-03-20 13:04:59.495312,46.23,60.91,111.53,71.4,47.17,1519,45.2,82.78,298.93,30.3,54.73,176.09
2025-03-20 13:09:59.495312,16.87,50.01,287.45,68.5,50.39,1426,64.93,45.83,409.66,40.6,92.36,577.21
2025-03-20 13:14:59.495312,64.79,18.26,217.25,45.2,96.65,1517,80.02,77.09,438.38,39.6,69.49,533.97
2025-03-20 13:19:59.495312,24.26,25.81,239.84,75.1,25.1,1255,30.42,88.36,345.0,45.7,32.65,388.78
2025-03-20 13:24:59.495312,43.96,48.37,205.04,72.4,81.9,1301,14.68,64.22,465.55,37.9,53.61,679.68
2025-03-20 13:29:59.495312,22.79,81.01,266.95,69.5,44.77,1202,43.97,82.12,300.09,33.1,78.06,140.39
2025-03-20 13:34:59.495312,54.36,55.31,106.63,47.0,23.12,1752,24.31,20.83,213.85,38.8,51.75,640.9
2025-03-20 13:39:59.495312,15.44,64.52,153.68,52.1,79.41,1087,43.66,76.4,583.71,68.4,43.22,251.17
2025-03-20 13:44:59.495312,7.08,37.12,193.93,57.7,46.47,1154,94.19,31.7,328.02,65.9,94.34,172.51
2025-03-20 13:49:59.495312,9.6,55.71,115.32,52.6,77.77,1142,56.67,47.81,485.38,49.9,90.17,914.13
2025-03-20 13:54:59.495312,90.88,45.79,241.18,50.3,76.61,948,67.42,61.73,403.01,69.5,90.62,486.81
2025-03-20 13:59:59.495312,17.81,62.73,178.73,76.2,62.78,1009,66.01,82.28,467.6,40.5,29.88,775.25
2025-03-20 14:04:59.495312,68.76,14.05,154.53,68.7,82.19,911,78.86,82.88,244.37,56.3,37.57,134.66
2025-03-20 14:09:59.495312,11.11,49.46,100.68,65.4,66.48,1453,89.97,17.37,407.54,36.4,53.16,104.59
2025-03-20 14:14:59.495312,14.73,33.68,243.97,50.2,42.93,1775,64.29,39.16,356.89,67.5,82.41,520.11
2025-03-20 14:19:59.495312,50.8,36.09,266.76,81.3,78.73,1335,47.85,73.45,380.74,35.9,75.26,349.77
2025-03-20 14:24:59.495312,46.84,86.87,179.01,48.6,67.13,848,33.6,66.25,586.48,31.4,83.73,54.66
2025-03-20 14:29:59.495312,90.64,24.62,212.84,75.8,21.02,1599,37.42,12.11,254.52,42.3,89.06,224.13
2025-03-20 14:34:59.495312,90.04,34.9,145.54,83.5,92.13,1130,35.1,45.99,501.88,70.5,78.56,257.84
2025-03-20 14:39:59.495312,75.16,50.79,224.44,72.7,63.65,1164,34.2,76.34,332.14,35.8,39.63,324.08
2025-03-20 14:44:59.495312,59.19,79.04,102.43,84.7,89.49,810,67.52,69.01,316.14,44.9,41.41,883.66
2025-03-20 14:49:59.495312,45.95,43.33,197.73,69.3,90.62,987,57.89,42.95,308.31,44.2,46.44,449.57
2025-03-20 14:54:59.495312,37.06,69.51,228.84,49.8,55.6,1308,23.18,68.81,339.51,66.1,42.73,695.46
2025-03-20 14:59:59.495312,90.24,78.51,283.64,49.2,60.61,1379,92.27,54.1,342.85,49.0,38.68,67.48
2025-03-20 15:04:59.495312,59.26,34.8,176.27,54.6,53.26,1244,43.5,83.01,308.3,57.5,76.44,823.23
2025-03-20 15:09:59.495312,57.12,41.42,253.04,40.3,55.95,889,55.95,56.97,467.0,48.2,22.55,278.31
2025-03-20 15:14:59.495312,25.87,38.52,219.54,70.7,91.61,1421,68.23,42.06,219.09,54.8,74.63,343.59
2025-03-20 15:19:59.495312,9.2,76.63,285.4,52.1,83.05,1700,60.23,79.03,332.92,32.8,81.77,92.99
2025-03-20 15:24:59.495312,90.07,13.55,179.68,76.7,30.12,1475,32.99,13.99,312.08,46.8,24.95,439.21
2025-03-20 15:29:59.495312,33.24,34.67,163.82,56.2,68.82,1792,76.79,82.04,500.57,68.5,24.64,859.95
2025-03-20 15:34:59.495312,44.83,64.35,277.43,61.6,99.67,1247,14.91,65.71,258.6,61.1,41.41,409.8
2025-03-20 15:39:59.495312,15.32,55.24,109.85,83.5,67.64,1517,56.21,85.25,576.27,74.2,35.62,913.18
2025-03-20 15:44:59.495312,80.32,44.9,127.28,50.9,82.87,831,29.6,30.04,268.21,65.5,63.59,874.08
2025-03-20 15:49:59.495312,7.49,53.2,116.48,72.5,81.52,1126,60.42,65.59,348.01,50.3,70.66,108.86
2025-03-20 15:54:59.495312,80.06,25.81,268.62,74.0,48.03,873,24.62,74.76,279.88,60.4,67.56,340.01
2025-03-20 15:59:59.495312,17.63,44.46,102.12,49.9,49.75,1050,74.5,66.17,314.68,64.9,46.8,914.9
2025-03-20 16:04:59.495312,84.79,50.14,272.33,62.5,77.93,1249,25.48,26.83,504.41,42.1,57.38,78.32
2025-03-20 16:09:59.495312,70.68,82.1,190.25,55.8,60.0,1705,85.14,32.05,390.56,32.7,68.0,777.52
